title,abstract,paragraph,date,web_url,text,text_clean,clusters
Who’s Who Behind the Dawn of the Modern Artificial Intelligence Movement,"Before chatbots exploded in popularity, a group of researchers, tech executives and venture capitalists had worked for more than a decade to fuel A.I.","While artificial intelligence has taken the limelight over the past year, technology that can appear to operate like human brains has been top of mind for researchers, investors and tech executives in Silicon Valley and beyond for more than a decade.",2023-12-03T10:04:30+0000,https://www.nytimes.com/2023/12/03/technology/ai-key-figures.html,"Who’s Who Behind the Dawn of the Modern Artificial Intelligence Movement Before chatbots exploded in popularity, a group of researchers, tech executives and venture capitalists had worked for more than a decade to fuel A.I.",behind dawn modern artificial intelligence movement chatbots exploded popularity group researcher tech executive venture capitalist worked decade fuel,1
"Ego, Fear and Money: How the A.I. Fuse Was Lit",The people who were most afraid of the risks of artificial intelligence decided they should be the ones to build it. Then distrust fueled a spiraling competition.,"Elon Musk celebrated his 44th birthday in July 2015 at a three-day party thrown by his wife at a California wine country resort dotted with cabins. It was family and friends only, with children racing around the upscale property in Napa Valley.",2023-12-03T10:00:56+0000,https://www.nytimes.com/2023/12/03/technology/ai-openai-musk-page-altman.html,"Ego, Fear and Money: How the A.I. Fuse Was Lit The people who were most afraid of the risks of artificial intelligence decided they should be the ones to build it. Then distrust fueled a spiraling competition.",ego fear money fuse lit people afraid risk artificial intelligence decided one build distrust fueled spiraling competition,1
"What’s Next for OpenAI, Binance Is Binanceled and A.I. Is Eating the Internet","It’s full steam ahead for the tech world despite, well, everything.","The drama at OpenAI is not over. Kevin and Casey take stock of new information they’ve gathered since last week, and look at how other artificial intelligence companies are trying to capitalize on the debacle. Then, why people are still buying cryptocurrency even after Binance, the world’s largest crypto exchange, and its founder pleaded guilty to money laundering violations. And finally, three ways A.I. is ruining web search. Or is it?",2023-12-01T10:03:32+0000,https://www.nytimes.com/2023/12/01/podcasts/hard-fork-openai-future-binance.html,"What’s Next for OpenAI, Binance Is Binanceled and A.I. Is Eating the Internet It’s full steam ahead for the tech world despite, well, everything.",next openai binance binanceled eating internet full steam ahead tech world despite well everything,1
London’s Black Cabs Can Soon Join Uber. But Will They?,"In 2024, passengers are set to have the option to book black cabs through Uber. After longstanding tensions, a union for drivers said they “have no interest.”","Drivers for London’s black cabs will soon be able to offer rides on Uber, the ride-hailing platform announced on Wednesday, in the latest attempt to heal a contentious rift between the company and the city’s signature taxi service.",2023-11-29T17:55:02+0000,https://www.nytimes.com/2023/11/29/world/europe/uber-black-cab-taxi-london.html,"London’s Black Cabs Can Soon Join Uber. But Will They? In 2024, passengers are set to have the option to book black cabs through Uber. After longstanding tensions, a union for drivers said they “have no interest.”",london black cab soon join uber  passenger set option book black cab uber longstanding tension union driver said interest,0
Inside U.S. Efforts to Untangle an A.I. Giant’s Ties to China,American spy agencies have warned about the Emirati firm G42 and its work with large Chinese companies that U.S. officials consider security threats.,"When the secretive national security adviser of the United Arab Emirates, Sheikh Tahnoon bin Zayed, visited the White House in June, his American counterpart, Jake Sullivan, raised a delicate issue: G42, an artificial intelligence firm controlled by the sheikh that American officials believe is hiding the extent of its work with China.",2023-11-27T15:40:02+0000,https://www.nytimes.com/2023/11/27/us/politics/ai-us-uae-china-security-g42.html,Inside U.S. Efforts to Untangle an A.I. Giant’s Ties to China American spy agencies have warned about the Emirati firm G42 and its work with large Chinese companies that U.S. officials consider security threats.,inside effort untangle giant tie china american spy agency warned emirati firm  work large chinese company official consider security threat,0
"The White House May Condemn Musk, but the Government Is Addicted to Him",Rarely has the U.S. government so depended on the technology provided by a single technologist with views that it has so publicly declared repugnant.,"The White House denounced Elon Musk on Friday for “abhorrent promotion of antisemitic and racist hate,” for his endorsement of what an administration spokesman called a “hideous lie” about Jews.",2023-11-19T20:21:56+0000,https://www.nytimes.com/2023/11/19/us/politics/elon-musk-white-house-pentagon.html,"The White House May Condemn Musk, but the Government Is Addicted to Him Rarely has the U.S. government so depended on the technology provided by a single technologist with views that it has so publicly declared repugnant.",white house may condemn musk government addicted rarely government depended technology provided single technologist view publicly declared repugnant,4
SpaceX Makes Progress in 2nd Launch of Giant Moon and Mars Rocket,The journeys of Starship’s two parts ended in separate explosions. But the engineers at Elon Musk’s spaceflight company overcame problems that marred the rocket’s first flight in April.,"SpaceX, Elon Musk's spaceflight company, launched its Starship rocket from the coast of South Texas on Saturday, a mammoth vehicle that could alter the future of space transportation and help NASA return astronauts to the moon.",2023-11-18T16:36:27+0000,https://www.nytimes.com/2023/11/18/science/spacex-starship-launch.html,SpaceX Makes Progress in 2nd Launch of Giant Moon and Mars Rocket The journeys of Starship’s two parts ended in separate explosions. But the engineers at Elon Musk’s spaceflight company overcame problems that marred the rocket’s first flight in April.,spacex make progress  launch giant moon mar rocket journey starship two part ended separate explosion engineer elon musk spaceflight company overcame problem marred rocket first flight april,0
Emergency Pod: Sam Altman is Out at Open AI,“Probably the most shocking tech story of the year.”,"Sam Altman, the chief executive of Open AI, was pushed out of the company by its board of directors on Friday. The news was a complete shock to much of the company’s employee base and to its largest corporate partner, Microsoft. Silicon Valley insiders are scrambling to get answers on exactly what happened and why the board’s decision seemed so abrupt. We rundown what we know and the many things we still don’t.",2023-11-18T07:38:36+0000,https://www.nytimes.com/2023/11/18/podcasts/hard-fork-sam-altman.html,Emergency Pod: Sam Altman is Out at Open AI “Probably the most shocking tech story of the year.”,emergency pod sam altman open ai probably shocking tech story year,1
How Bad Is Antisemitism Online? It’s Increasingly Hard to Know.,People who study social media say the conflict between Israel and Hamas has underscored the need for better data transparency from platforms.,"As the Israel-Hamas war flooded social media with violent content, false information and a seemingly limitless swell of opinions, lawmakers and users have accused platforms like TikTok and Facebook of promoting biased posts.",2023-11-17T19:34:05+0000,https://www.nytimes.com/2023/11/17/technology/israel-hamas-war-meta-tiktok-social-media.html,How Bad Is Antisemitism Online? It’s Increasingly Hard to Know. People who study social media say the conflict between Israel and Hamas has underscored the need for better data transparency from platforms.,bad antisemitism online increasingly hard know people study social medium say conflict israel hamas underscored need better data transparency platform,0
SpaceX Shifts the 2nd Launch of Its Starship Rocket to Saturday,"Elon Musk’s private space company is hoping for a better performance of the giant rocket, which is the most powerful ever to fly.",Follow updates from the second Starship test launch here.,2023-11-16T16:24:49+0000,https://www.nytimes.com/2023/11/16/science/spacex-starship-launch-elon-musk.html,"SpaceX Shifts the 2nd Launch of Its Starship Rocket to Saturday Elon Musk’s private space company is hoping for a better performance of the giant rocket, which is the most powerful ever to fly.",spacex shift  launch starship rocket saturday elon musk private space company hoping better performance giant rocket powerful ever fly,4
"Personalized GPTs Are Here, F.T.C. Chair Lina Khan on A.I. Competition, and Mayhem at Apefest","“On this podcast, we’re automating the haters.”",Warning: this episode contains some explicit language.,2023-11-10T10:03:31+0000,https://www.nytimes.com/2023/11/10/podcasts/hardfork-chatbot-ftc.html,"Personalized GPTs Are Here, F.T.C. Chair Lina Khan on A.I. Competition, and Mayhem at Apefest “On this podcast, we’re automating the haters.”",personalized gpts chair lina khan competition mayhem apefest podcast automating hater,0
Casey Goes to the White House + The Copyright Battle Over Artificial Intelligence + HatGPT,"“It’s America, you can always sue.”",President Biden’s new executive order on artificial intelligence has a little bit of everything for everyone concerned about A.I. Casey takes us inside the White House as the order was signed.,2023-11-03T09:03:24+0000,https://www.nytimes.com/2023/11/03/podcasts/hard-fork-executive-order-ai-copyright.html,"Casey Goes to the White House + The Copyright Battle Over Artificial Intelligence + HatGPT “It’s America, you can always sue.”",casey go white house copyright battle artificial intelligence hatgpt america always sue,1
"Electric Planes, Once a Fantasy, Start to Take to the Skies",How a small plane’s 16-day trip from Vermont to Florida might foreshadow a new era of battery-powered air travel long considered implausible.,"Chris Caputo stood on the tarmac at Burlington International Airport in Vermont in early October and looked to the clouds in the distance. He had piloted military and commercial aircraft over a long career, racking up thousands of flight hours, but the trip he was about to take would be very different.",2023-11-03T09:02:04+0000,https://www.nytimes.com/2023/11/03/business/electric-planes-beta-technologies.html,"Electric Planes, Once a Fantasy, Start to Take to the Skies How a small plane’s 16-day trip from Vermont to Florida might foreshadow a new era of battery-powered air travel long considered implausible.",electric plane fantasy start take sky small plane  day trip vermont florida might foreshadow new era battery powered air travel long considered implausible,3
A Giant Leap for the Leap Second. Is Humankind Ready?,A top scientist has proposed a new way to reconcile the two different ways that our clocks keep time. Meet — wait for it — the leap minute.,"Later this month, delegations from around the world will head to a conference in Dubai to discuss international treaties involving radio frequencies, satellite coordination and other tricky technical issues. These include the nagging problem of the clocks.",2023-11-03T04:01:27+0000,https://www.nytimes.com/2023/11/03/science/time-leap-second.html,A Giant Leap for the Leap Second. Is Humankind Ready? A top scientist has proposed a new way to reconcile the two different ways that our clocks keep time. Meet — wait for it — the leap minute.,giant leap leap second humankind ready top scientist proposed new way reconcile two different way clock keep time meet wait leap minute,3
The Pentagon Road to Venture Capital,Here is a list of people who have jumped from the Pentagon and other government posts into jobs with venture capitalists that are backing defense technology startups.,"For decades, national security personnel have moved from jobs at the Pentagon to positions at major military contractors. More recently, a growing number of senior Pentagon officials are leaving to take positions at venture capital or private equity firms that invest in a new generation of Silicon Valley-style defense tech startups.",2023-12-30T14:13:37+0000,https://www.nytimes.com/2023/12/30/us/politics/the-pentagon-road-to-venture-capital.html,The Pentagon Road to Venture Capital Here is a list of people who have jumped from the Pentagon and other government posts into jobs with venture capitalists that are backing defense technology startups.,pentagon road venture capital list people jumped pentagon government post job venture capitalist backing defense technology startup,3
6 Great Space Images in December,"A new view of Uranus, a cat video from space and other scenes from around the solar system in December.","A new view of Uranus, a cat video from space and other scenes from around the solar system in December.",2023-12-29T16:04:15+0000,https://www.nytimes.com/interactive/2023/12/29/science/space-astronomy-images-video.html,"6 Great Space Images in December A new view of Uranus, a cat video from space and other scenes from around the solar system in December.", great space image december new view uranus cat video space scene around solar system december,4
How to Stop Our High-Tech Equipment From Arming Russia and China,The Biden administration needs to enforce its effort to keep highly strategic technology from winding up in Russia and China.,"The U.S. government’s efforts to stop Russia and China from using American equipment to boost their defense sectors have resulted in tough rules — but leaky enforcement. As a result, American-made tools keep turning up in Russian missile factories and in Huawei’s supply chain. With war in Europe and China threatening its neighbors, that’s just not good enough.",2023-12-29T10:01:56+0000,https://www.nytimes.com/2023/12/29/opinion/chips-semiconductor-china-russia-military.html,How to Stop Our High-Tech Equipment From Arming Russia and China The Biden administration needs to enforce its effort to keep highly strategic technology from winding up in Russia and China.,stop high tech equipment arming russia china biden administration need enforce effort keep highly strategic technology winding russia china,0
What’s Next in Artificial Intelligence?,"If 2023 was the year of A.I. awakening, 2024 could be the year of A.I. reckoning.","Mustafa Suleyman remembers the epochal moment he grasped artificial intelligence’s potential. It was 2016 — Paleolithic times by A.I. standards — and DeepMind, the company he had co-founded that was acquired by Google in 2014, had pitted its A.I. machine, AlphaGo, against a world champion of Go, the confoundingly difficult strategy game. AlphaGo zipped through thousands of permutations, making fast work of the hapless human. Stunned, Suleyman realized the machine had “seemingly superhuman insights,” he says in his  book on A.I., “The Coming Wave.”",2023-12-27T12:53:28+0000,https://www.nytimes.com/2023/12/27/business/dealbook/artificial-intelligence-investment-laws.html,"What’s Next in Artificial Intelligence? If 2023 was the year of A.I. awakening, 2024 could be the year of A.I. reckoning.",next artificial intelligence  year awakening  could year reckoning,1
"Robert M. Solow, Groundbreaking Economist and Nobelist, Dies at 99","His elegant work established that the main determinant of economic growth was technology, not growing capital and labor.","Robert M. Solow, who won a Nobel in economic science in 1987 for his theory that advances in technology, rather than increases in capital and labor, have been the primary drivers of economic growth in the United States, died on Thursday at his home in Lexington, Mass. He was 99.",2023-12-21T23:46:55+0000,https://www.nytimes.com/2023/12/21/business/robert-solow-dead.html,"Robert M. Solow, Groundbreaking Economist and Nobelist, Dies at 99 His elegant work established that the main determinant of economic growth was technology, not growing capital and labor.",robert solow groundbreaking economist nobelist dy  elegant work established main determinant economic growth technology growing capital labor,0
"Topics Suppressed in China Are Underrepresented on TikTok, Study Says","The report, from the Network Contagion Research Institute at Rutgers University, could raise new concerns about whether Beijing influences the content on the popular video app.","Topics often suppressed by the Chinese government within its borders, including Tibet, Hong Kong protests and the Uyghur population, appear to be unusually underrepresented on TikTok compared with Instagram, according to a report published Thursday by online researchers.",2023-12-21T20:00:09+0000,https://www.nytimes.com/2023/12/21/business/tiktok-china.html,"Topics Suppressed in China Are Underrepresented on TikTok, Study Says The report, from the Network Contagion Research Institute at Rutgers University, could raise new concerns about whether Beijing influences the content on the popular video app.",topic suppressed china underrepresented tiktok study say report network contagion research institute rutgers university could raise new concern whether beijing influence content popular video app,1
"Swiftonomics, Kamala Harris and Decadent Real Estate: Your Questions, Answered.",You asked. The hosts have opinions.,"Have we reached peak Taylor Swift? Does the world need your bagel shop’s position on Israel-Hamas? Should Ross start drinking on mic? On the year’s final episode of “Matter of Opinion,” the hosts take your questions and reflect on the best of 2023.",2023-12-15T10:02:33+0000,https://www.nytimes.com/2023/12/15/opinion/mailbag-listener-questions.html,"Swiftonomics, Kamala Harris and Decadent Real Estate: Your Questions, Answered. You asked. The hosts have opinions.",swiftonomics kamala harris decadent real estate question answered asked host opinion,0
Republicans Reject Funding for Penn’s Veterinary School,Members of the State House of Representatives said the university needed to take a stronger stand against antisemitism.,Republicans in Pennsylvania’s House of Representatives voted this week to withhold millions of dollars from the University of Pennsylvania’s veterinary school amid an uproar over the school’s response to antisemitism on campus.,2023-12-15T00:18:02+0000,https://www.nytimes.com/2023/12/14/us/penn-veterinary-school-funding-antisemitism.html,Republicans Reject Funding for Penn’s Veterinary School Members of the State House of Representatives said the university needed to take a stronger stand against antisemitism.,republican reject funding penn veterinary school member state house representative said university needed take stronger stand antisemitism,2
"So Far, No Major Fallout for M.I.T. President After Contentious Testimony","Dr. Sally Kornbluth, who is new to M.I.T., did not draw nearly as much fire as her counterparts at Harvard and Penn after last week’s congressional hearing.","While governing boards at Harvard and the University of Pennsylvania weighed their presidents’ fates in tense closed-door meetings this month, the board at the Massachusetts Institute of Technology swiftly issued a statement of unequivocal support for its president, Sally Kornbluth.",2023-12-13T20:50:08+0000,https://www.nytimes.com/2023/12/13/us/mit-sally-kornbluth-antisemitism.html,"So Far, No Major Fallout for M.I.T. President After Contentious Testimony Dr. Sally Kornbluth, who is new to M.I.T., did not draw nearly as much fire as her counterparts at Harvard and Penn after last week’s congressional hearing.",far major fallout president contentious testimony dr sally kornbluth new draw nearly much fire counterpart harvard penn last week congressional hearing,2
Black Students Are Being Trained to Think They Can’t Handle Discomfort,Many university leaders seem to assume that Black students can’t handle anything unpleasant.,"The presidents of Harvard, the University of Pennsylvania and the Massachusetts Institute of Technology have been roundly condemned for arguing, at a congressional hearing on antisemitism, that calls for genocide against Jews are not always susceptible to sanction on their campuses. (Liz Magill of Penn has since resigned.)",2023-12-13T20:00:12+0000,https://www.nytimes.com/2023/12/13/opinion/universities-antisemitism-racism-harvard.html,Black Students Are Being Trained to Think They Can’t Handle Discomfort Many university leaders seem to assume that Black students can’t handle anything unpleasant.,black student trained think handle discomfort many university leader seem assume black student handle anything unpleasant,2
A New Playbook for College Donors: Power Politics,"Donations to U.S. universities reached $59.5 billion last year, and they come increasingly from a smaller group of wealthy donors. Many of them expect their money to buy a voice in university affairs.","Major college donors used to expect their name on a building or the ability to call in a favor with the admissions office. They often gave money toward the end of their life, as a bookend to a successful career. And if they wanted to sway school policy, they typically worked behind the scenes to get their way.",2023-12-13T21:41:45+0000,https://www.nytimes.com/2023/12/13/us/universities-donors-penn-harvard.html,"A New Playbook for College Donors: Power Politics Donations to U.S. universities reached $59.5 billion last year, and they come increasingly from a smaller group of wealthy donors. Many of them expect their money to buy a voice in university affairs.",new playbook college donor power politics donation university reached   billion last year come increasingly smaller group wealthy donor many expect money buy voice university affair,2
"Harvard’s Board Unites Behind Its President, but Its Campus Remains Splintered","Harvard’s governing body said it stood firmly behind Claudine Gay as the university’s president, a stance both praised and condemned by students, faculty and alumni.","As universities across the country strained under pressure to take a public position on the Oct. 7 attack on Israel by Hamas, few were as tormented as Harvard.",2023-12-12T13:26:53+0000,https://www.nytimes.com/2023/12/12/us/harvard-president-claudine-gay.html,"Harvard’s Board Unites Behind Its President, but Its Campus Remains Splintered Harvard’s governing body said it stood firmly behind Claudine Gay as the university’s president, a stance both praised and condemned by students, faculty and alumni.",harvard board unites behind president campus remains splintered harvard governing body said stood firmly behind claudine gay university president stance praised condemned student faculty alumnus,2
A Timeline of How the Israel-Hamas War Has Roiled College Campuses,"Since Oct. 7, there have been dueling protests, calls for the ouster of school leaders and threats from angry donors.","Since Hamas’s surprise attack on Israel on Oct. 7, and the start of a counteroffensive from Israel, colleges and universities across the United States have been struggling to handle the debate and protests over the war.",2023-12-12T13:35:11+0000,https://www.nytimes.com/2023/12/12/us/campus-unrest-israel-gaza-antisemitism.html,"A Timeline of How the Israel-Hamas War Has Roiled College Campuses Since Oct. 7, there have been dueling protests, calls for the ouster of school leaders and threats from angry donors.",timeline israel hamas war roiled college campus since oct  dueling protest call ouster school leader threat angry donor,2
"As Harvard President Faces Pressure to Resign, Some Faculty Show Support","Claudine Gay, Harvard’s president, faced rising pressure after her answers to questions about antisemitism. Some faculty members signed a petition supporting her.","The president of Harvard University, Claudine Gay, faced escalating pressure on Sunday to resign as prominent alumni, donors and politicians called for her ouster. But a group of faculty members rallied to support her, arguing that she was being railroaded for a moment of poorly worded remarks about antisemitism.",2023-12-11T00:08:36+0000,https://www.nytimes.com/2023/12/10/us/harvard-president-claudine-gay.html,"As Harvard President Faces Pressure to Resign, Some Faculty Show Support Claudine Gay, Harvard’s president, faced rising pressure after her answers to questions about antisemitism. Some faculty members signed a petition supporting her.",harvard president face pressure resign faculty show support claudine gay harvard president faced rising pressure answer question antisemitism faculty member signed petition supporting,2
What the University Presidents Got Right and Wrong About Antisemitic Speech,The proper response to censorship is not more censorship.,"As I watched the presidents of Harvard, M.I.T. and the University of Pennsylvania struggle last week to respond to harsh congressional questioning about the prevalence of antisemitism on their campuses, I had a singular thought: Censorship helped put these presidents in their predicament, and censorship will not help them escape.",2023-12-10T14:00:05+0000,https://www.nytimes.com/2023/12/10/opinion/antisemitism-university-presidents.html,What the University Presidents Got Right and Wrong About Antisemitic Speech The proper response to censorship is not more censorship.,university president got right wrong antisemitic speech proper response censorship censorship,0
"As Fury Erupts Over Campus Antisemitism, Conservatives Seize the Moment","Republicans have been attacking elite universities for years. After a tense congressional hearing last week, many on the left are joining them.","For years, conservatives have struggled to persuade American voters that the left-wing tilt of higher education is not only wrong but dangerous. Universities and their students, they’ve argued, have been increasingly clenched by suffocating ideologies — political correctness in one decade, overweening “social justice” in another, “woke-ism” most recently — that shouldn’t be dismissed as academic fads or harmless zeal.",2023-12-10T10:01:35+0000,https://www.nytimes.com/2023/12/10/us/universities-antisemitism-conservatives-liberals.html,"As Fury Erupts Over Campus Antisemitism, Conservatives Seize the Moment Republicans have been attacking elite universities for years. After a tense congressional hearing last week, many on the left are joining them.",fury erupts campus antisemitism conservative seize moment republican attacking elite university year tense congressional hearing last week many left joining,2
‘S.N.L.’ Invites University of Phoenix to the House Antisemitism Hearing,"The satire was only slightly less awkward than the real thing, in a freewheeling episode hosted by Adam Driver. Olivia Rodrigo was the musical guest.","Sometimes even an up-to-the-minute comedy show like “Saturday Night Live” can’t quite stay ahead of the news cycle. Hours after it was announced that Elizabeth Magill, the president of the University of Pennsylvania, was resigning after an appearance before Congress in which she appeared to evade questions about whether students should be punished for calling for the genocide of Jews, “S.N.L.” led its broadcast with a satirical recreation of the Tuesday hearing.",2023-12-10T09:18:49+0000,https://www.nytimes.com/2023/12/10/arts/television/saturday-night-live-adam-driver-olivia-rodrigo.html,"‘S.N.L.’ Invites University of Phoenix to the House Antisemitism Hearing The satire was only slightly less awkward than the real thing, in a freewheeling episode hosted by Adam Driver. Olivia Rodrigo was the musical guest.",n invite university phoenix house antisemitism hearing satire slightly le awkward real thing freewheeling episode hosted adam driver olivia rodrigo musical guest,2
"What to Know About Elizabeth Magill, the Penn President Who Resigned","Ms. Magill, who had been in her post since last year, stepped down four days after testifying before Congress.","The president of the University of Pennsylvania, Elizabeth Magill, resigned on Saturday, four days after she came under fire for her responses at a congressional hearing on Tuesday in which she was pressed, along with the presidents of Harvard and M.I.T., on whether students calling for the genocide of Jews should be disciplined.",2023-12-09T22:32:27+0000,https://www.nytimes.com/2023/12/09/us/elizabeth-magill-penn-president.html,"What to Know About Elizabeth Magill, the Penn President Who Resigned Ms. Magill, who had been in her post since last year, stepped down four days after testifying before Congress.",know elizabeth magill penn president resigned m magill post since last year stepped four day testifying congress,1
The Ivy League Flunks Out,We shouldn’t need to tell these smart people how ignorant they sound.,This column was updated to reflect the news. ,2023-12-09T12:00:25+0000,https://www.nytimes.com/2023/12/09/opinion/antisemitism-university-presidents.html,The Ivy League Flunks Out We shouldn’t need to tell these smart people how ignorant they sound.,ivy league flunk need tell smart people ignorant sound,0
One Law Firm Prepared Both Penn and Harvard for Hearing on Antisemitism,"The presidents of Harvard, the University of Pennsylvania and M.I.T. came under fire after dodging questions about their policies.","At a congressional hearing on Tuesday, the leaders of Harvard, the University of Pennsylvania and the Massachusetts Institute of Technology gave carefully worded — and seemingly evasive — answers to the question of whether they would discipline students who called for the genocide of Jews. The intense criticism that followed led many to wonder: Who had prepared them for testimony?",2023-12-08T21:03:06+0000,https://www.nytimes.com/2023/12/08/business/dealbook/wilmerhale-penn-harvard-mit-antisemitism-hearing.html,"One Law Firm Prepared Both Penn and Harvard for Hearing on Antisemitism The presidents of Harvard, the University of Pennsylvania and M.I.T. came under fire after dodging questions about their policies.",one law firm prepared penn harvard hearing antisemitism president harvard university pennsylvania came fire dodging question policy,2
